AL|Alexander Library|CAC
ARC|ALLISON ROAD CLASSROOM|BUS
ARH|ART HISTORY HALL|C/D
ARM|Army ROTC, 157 College Avenue | CAC
BE |BECK HALL|LIV
BE-AUD|BECK HALL AUDITORIUM|LIV
BH |BISHOP HOUSE   |CAC
BIO|BIOLOGICAL SCIENCES|C/D
BL |BLAKE HALL|C/D
BME|NEW BIOMEDICAL ENGINEERING BLDG.|BUS
BMD|BIOMEDICAL ENGINEERING MODULAR BLDG.   |BUS
BRT|Brett Hall|CAC
BST|BUSCH ENG,SCIENCE & TECH, W.RESIDENCE HALL, BLDG.A|BUS
BT |BARTLETT HALL  |C/D
CA |CAMPBELL HALL  |CAC
CAB|Center for Advanced Biotech & Medicine |BUS
CAG|COLLEGE AVENUE GYMNASIUM|CAC
CCA|CENTER FOR CRITICAL ANALYSIS   |CAC
CCR|CENTER FOR CERAMIC RESEARCH|BUS
CDL|COOK DOUGLASS LECTURE HALL|C/D
CDR|COOK/DOUGLASS RECREATION|C/D
CEB|CIVIL ENGINEERING ANNEX|BUS
CEL|CIVIL ENGINEERING LABORATORY   |BUS
CHA|CENTER FOR HISTORICAL ANALYSIS |CAC
CI |SCHOOL OF COMM. & INFO.|CAC
CJS|CENTER FOR JEWISH STUDIES|CAC
COB|COOK COLLEGE OFFICE BUILDING   |C/D
COR|COMPUTER RESEARCH & EDUCATION  |BUS
CPE|CTR FOR PACKAGING (BLDG. #3529)|BUS
CPH|CARPENDER HALL |C/D
CSB|CIVIC SQUARE BUILDING  |DNB
DAV|DAVISON HALL   |C/D
DL |DOUGLASS LIBRARY|C/D
DOO|DOOLITTLE HALL |BUS
EAS| EASTON AVENUE APARTMENTS|CAC
ED |GRADUATE SCHOOL OF EDUCATION   |CAC
EE |ELECTRICAL ENGINEERING BUILDING|BUS
EN |ENGINEERING BUILDING   |BUS
ENR|ENVIRONMENTAL & NATURAL RESOURCES|C/D
FBO|FIBER OPTICS REASEARCH BLDG.   |BUS
FG |FLORICULTURAL GREENHOUSE|C/D
FH |FRELINGHUYSEN HALL|CAC
FOR|FORAN HALL|C/D
FS |FOOD SCIENCE BUILDING  |C/D
FS-AUD|FOOD SCIENCE AUDITORIUM|C/D
GH |GERMAN HOUSE, 172 College Ave  |CAC
HCK|HICKMAN HALL   |C/D
HH |HARDENBERGH HALL|CAC
HLL|HILL CENTER|BUS
HSB|HELDRICH SCIENCE BUILDING|C/D
HU |184 COLLEGE AVENUE|CAC
JAM-STU|JAMESON STUDIO|C/D
JLB|JANICE LEVIN BUILDING  |LIV
JS |JOHN SMITH HALL CLASSROOM BUILDING|C/D
KIL-LIBR |KILMER LIBRARY |LIV
KC |KIRKPATRICK CHAPEL|CAC
LAB|LIVINGSTON ART BUILDING|LIV
LCB|LIVINGSTON CLASSROOM BUILDING  |LIV
LEC|LABOR EDUCATION BUILDING|C/D
LEV-STU|LEVIN STUDIO|C/D
LEV-THR|LEVIN THEATRE|C/D
LH |LIPMAN HALL|C/D
LLB|LANGUAGE LAB BUILDING  |CAC
LOR|LOREE CLASSROOM BUILDING|C/D
LOR-GYM|LOREE GYMNASIUM|C/D
LRB|LIVINGSTON RESIDENCE BUILDING, BLDG. B |LIV
LSH|LUCY STONE HALL|LIV
LSH-AUD|LUCY STONE HALL AUDITORIUM |LIV
LT |LITTLE THEATRE |C/D
MH |MILLER HALL|CAC
MI |MILLEDOLER HALL|CAC
MK |MCKINNEY HALL  |CAC
MU |MURRAY HALL|CAC
MUS|MUSIC BUILDING |C/D
MX |MUSIC ANNEX|C/D
NH |NELSON HALL|BUS
NIH|NICHOLAS HALL  |C/D
NJ |NEW JERSEY HALL|CAC
NTR|NEW THEATRE|C/D
NUR|COLLEGE OF NURSING|DNB
PH |PHARMACY BUILDING (WM. LEVIN HALL)|BUS
PHY-LH|PHYSICS LECTURE HALL|BUS
PSY|PSYCHOLOGY BUILDING|BUS
RAB|RUTH ADAMS BUILDING|C/D
RJC|RUTH JOHNSON CROCKETT  |C/D
RLH|REHEARSAL HALL |C/D
RTC|RUTCOR MODULAR BUILDING|BUS
SC |SCOTT HALL|CAC
SEC|SCIENCE & ENGG RESOURCE CTR. (T. ALEXANDER POND)|BUS
SEM|18 Seminary Place|CAC
SM3|3 SEMINARY PLACE|CAC
SMH|SMITHERS HALL  |BUS
SRN|SERIN (PHYSICS & ASTRONOMY)|BUS
SW |SCHOOL OF SOCIAL WORK  |CAC
TH |THOMPSON HALL  |C/D
TIL|TILLETT HALL   |LIV
VC |VOORHEES CHAPEL|C/D
VD |VAN DYCK HALL  |CAC
VH |VOORHEES HALL  |CAC
WAK|WAKSMAN INSTITUTE|C/D
WAL|WALLER HALL|C/D
WD |WOODLAWN|C/D
WL |WRIGHT LABS|BUS
WL-AUD|WRIGHT LAB AUDITORIUM|BUS
WLT|WALTERS HALL   |C/D
ZAM|ZIMMERLI ART MUSEUM|CAC
